,user_ID,name,affiliation
0,N5APA98AAAAJ,Wasit Limprasert,Thammasat university
1,Re819VUAAAAJ,sandhya Babel,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
2,97Zz_TIAAAAJ,Sombat Muengtaweepongsa,Thammasat University
3,u-vl_aIAAAAJ,Wutiphol Sintunavarat,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
4,9bUei6wAAAAJ,Bunyarit Uyyanonvara,"Associated Professor, SIIT, Thammasat University"
5,UOeuXvQAAAAJ,Chanathip Namprempre,"Assistant Professor, Thammasat University"
6,82GqezQAAAAJ,Prof.Tritos Laosirihongthong,"Department of Industrial Engineering, Faculty of Engineering, Thammasat University …"
7,YMLTjlQAAAAJ,Kriengsak Panuwatwanich,"Associate Professor, Sirindhorn International Institute of Technology, Thammasat University"
8,PLcJne4AAAAJ,Sakun Boon-itt,"Professor of Operations Management, Thammasat Business School"
9,yGhz_1oAAAAJ,Juthathip Jongwanich,"Faculty of Economics, Thammasat University"
10,I2lBB5YAAAAJ,"Kritsadarat Wattanasuwan, DPhil (Oxon)","Thammasat Business School, Thammasat University, Bangkok Thailand"
11,debyzkIAAAAJ,Bundit Limmeechokchai,"Sirindhorn International Institute of Technology, THAMAMSAT University"
12,JGJNbjIAAAAJ,Ruth Banomyong,"Thammasat Business School, Thammasat University"
13,UfE8D-AAAAAJ,Archanun Kophaiboon,"Faculty of Economics, Thammasat University"
14,aVwwa_0AAAAJ,Nurak Grisdanurak,"Chemical Engineering Dept., Thammasat University"
15,91yGxx0AAAAJ,Paiboon Sreearunothai,Sirindhorn International Institute of Technology
16,HD7tStUAAAAJ,Chanatip Samart,Thammasat University
17,SMJ2150AAAAJ,Stanislav Makhanov,"Professor Sirindhorn International Institute of Technology, Thammasat University"
18,O4WHKcYAAAAJ,Prof. Dr. Chaosuan Kanchanomai,"Department of Mechanical Engineering, Thammasat University, Thailand"
19,QL5Hx5gAAAAJ,Kongkiat Kulkantrakorn,Thammasat University
20,I5F9jrQAAAAJ,Thanaruk Theeramunkong,Sirindhorn International Institute of Technology
21,p-WB_8kAAAAJ,Cattaleeya Pattamaprom,Thammasat University
22,KhTCPuEAAAAJ,Sanya Mitaim,"Associate Professor, Thammasat University"
23,n5NQxncAAAAJ,Thawatchai Onjun,Sirindhorn International Institute of Technology
24,SaeC_isAAAAJ,Siriwan Suebnukarn,Professor at Thammasat University
25,iaKJpjwAAAAJ,Peter Ractham,Thammasat Business School
26,R2R8ECAAAAAJ,Junya Pattaraarchachai,Thammasat University
27,uKVBN38AAAAJ,Piyanuch Kongtim,Thammasat University
28,tfqcJY0AAAAJ,Peerasak Paoprasert,Associate Professor at Thammasat University
29,QHoiqrEAAAAJ,Suraparb Keawsawasvong,Thammasat University
30,Xa3otrYAAAAJ,Kasidit Chanchio,Thammasat University
31,iB7D6X4AAAAJ,Preeti Ovartchaiyapong,Thammasat University
32,0nE6sE8AAAAJ,Assoc. Prof. Dr. Pakorn Opaprakasit,"Sirindhorn International Institute of Technology (SIIT), Thammasat University,Thailand"
33,0ObmHVgAAAAJ,Amin Eisazadeh (Assistant Professor (Dr.)),"Sirindhorn International Institute of Technology, Thammasat University"
34,SB62Tf4AAAAJ,Boonchoy Soontornworajit,"Department of Chemistry, Faculty of Science and Technology, Thammasat University"
35,M8a85U0AAAAJ,Professor Dr. Pusit Lertwattanaruk,"Faculty of Architecture and Planning, Thammasat University"
36,BDBDmcUAAAAJ,Yingyot Infahsaeng,"Lecturer at Department of Physics, Thammasat University"
37,ivPZuB0AAAAJ,Pruettha Nanakorn,"Professor, Sirindhorn International Institute of Technology, Thammasat University, Thailand"
38,qKEHgQsAAAAJ,Anya Khanthavit,"Distinguished Professor of Finance and Banking, Thammasat University"
39,gfGF_YoAAAAJ,Aussadavut Dumrongsiri,"Sirindhorn International Institute of Technology, Thammasat University"
40,96Dqe64AAAAJ,Bharat Dahiya,"College of Interdisciplinary Studies, Thammasat University, Bangkok, Thailand"
41,6dDRiEoAAAAJ,pornchai chunhachinda,Professor of Finance Thammasat University
